timestamp,location,temp_f,temp_c,region,demand_mw,hour,day_of_week,month,is_weekend,week_of_year,day_of_year
2024-06-01 00:00:00,Houston_TX,92.22,33.45,COAST,22792.4,0,5,6,True,22,153
2024-06-01 01:00:00,Houston_TX,89.13,31.74,COAST,23040.9,1,5,6,True,22,153
2024-06-01 02:00:00,Houston_TX,94.4,34.67,COAST,23703.2,2,5,6,True,22,153
2024-06-01 03:00:00,Houston_TX,96.15,35.64,COAST,23265.6,3,5,6,True,22,153
2024-06-01 04:00:00,Houston_TX,90.58,32.54,COAST,23556.1,4,5,6,True,22,153
2024-06-01 05:00:00,Houston_TX,94.13,34.52,COAST,23418.8,5,5,6,True,22,153
2024-06-01 06:00:00,Houston_TX,99.77,37.65,COAST,22933.4,6,5,6,True,22,153
2024-06-01 07:00:00,Houston_TX,100.73,38.19,COAST,23404.8,7,5,6,True,22,153
2024-06-01 08:00:00,Houston_TX,103.41,39.67,COAST,23235.9,8,5,6,True,22,153
2024-06-01 09:00:00,Houston_TX,102.98,39.43,COAST,23408.1,9,5,6,True,22,153
2024-06-01 10:00:00,Houston_TX,108.58,42.55,COAST,23750.5,10,5,6,True,22,153
2024-06-01 11:00:00,Houston_TX,109.13,42.85,COAST,23275.8,11,5,6,True,22,153
2024-06-01 12:00:00,Houston_TX,107.62,42.01,COAST,24537.5,12,5,6,True,22,153
2024-06-01 13:00:00,Houston_TX,110.0,43.33,COAST,23966.8,13,5,6,True,22,153
2024-06-01 14:00:00,Houston_TX,107.55,41.97,COAST,24809.8,14,5,6,True,22,153
2024-06-01 15:00:00,Houston_TX,102.96,39.42,COAST,24638.8,15,5,6,True,22,153
2024-06-01 16:00:00,Houston_TX,104.38,40.21,COAST,25371.6,16,5,6,True,22,153
2024-06-01 17:00:00,Houston_TX,99.13,37.29,COAST,24669.3,17,5,6,True,22,153
2024-06-01 18:00:00,Houston_TX,101.65,38.7,COAST,24634.1,18,5,6,True,22,153
2024-06-01 19:00:00,Houston_TX,97.26,36.26,COAST,24719.4,19,5,6,True,22,153
2024-06-01 20:00:00,Houston_TX,94.99,35.0,COAST,23526.7,20,5,6,True,22,153
2024-06-01 21:00:00,Houston_TX,92.1,33.39,COAST,24566.4,21,5,6,True,22,153
